filename;size_bytes;size_mb;title;title_language;title_confidence;metadata_language_hint;candidate_rank
LIS_bibliometrics_Counting Back.pptx;2203576;2.1;"""Counting Back"": What kind of bibliodiversity does the Impact Factor brand reflect? A case study of IF journals included in the 2021 Journal Citations Report";ENGLISH;1.0;english;1
Digital Coffee Lectures and RDM online during pandemic times.pptx;4658589;4.44;"""Digital Coffee Lectures and Research Data Management online during pandemic times at Hildesheim University Foundation (University Library Hildesheim)."" Presentation (RDM, Hildesheim University Library) Eurasian Academic Libraries Conference - 2020 (02.10.2020).";ENGLISH;1.0;english;2
Figure 1 VHI scale.pptx;143160;0.14;A INTERVENTIONAL CROSS SECTIONAL STUDY BETWEEN INTRA VAGINAL PLATELET RICH PLASMA AND ESTROGEN FOR TREATMENT OF GENITO-URINARY SYNDROME IN POST MENOPAUSAL WOMEN.;ENGLISH;1.0;english;3
ETD 2022_Matizirofa  Selematsela.pptx;5603101;5.34;A case study analysis of the accessibility, dissemination, networked infrastructure, and alignment for scholarly communication through ETDs for postgraduate research in South African universities;ENGLISH;1.0;english;4
ICCMSE_Plohl_final.pptx;990129;0.94;A short review of factors associated with acceptance of social robots in healthcare and lessons for their implementation in oncological settings;ENGLISH;1.0;english;5
Malikova+Bryson AI innovating firms by patent geography market cap mod.pptx;204949;0.2;AI-related patents (WIPO, category G06N) and market capitalisation by companies registering at least 2 new ones in 2019, sorted into four global regions (China, USA, EEA, rest of the world);ENGLISH;1.0;english;6
e-poster 2165-horizon.pptx;3330013;3.18;ARTEMISININ LOADING IMPROVES THE HEMOCOMPATIBILITY AND CELL VIABILITY OF CERIUM-DOPED MESOPOROUS SILICA WITH HUMAN PERIODONTAL LIGAMENT FIBROBALSTS;ENGLISH;1.0;english;7
Final defence.pptx;318749;0.3;ASSESSMENT OF ETHICAL BEHAVIOR AMONG PROFESSIONALS AT PROCUREMENT AND AFTER TENDERING PROCESS WITH ITS IMPACT & DRIVERS IN NEPALESE CONSTRUCTION INDUSTRY;ENGLISH;1.0;english;8
S04P02_Thilly_CG Presentation Paris Conference 2024.pptx;5383815;5.13;Accelerating the uptake of the Barcelona Declaration's principles: the catalyst role of networks in the emergence of change and influencing policy agenda setting;ENGLISH;1.0;english;9
ECerS - Lucas Teixeira - v2.pptx;4369294;4.17;Application of the Integrated Digital Image Correlation technique associated to Brazilian disc tests to identify the creep behavior of refractory materials;ENGLISH;1.0;english;10
EAA_2024_SID_514_Introduction_ThieryEtAl.pptx;8503950;8.11;Applying Archaeological Research Software Engineering as Little Minions: Statistical & Computational Approaches to Daily Archaeological Tasks;ENGLISH;1.0;english;11
Aptashape presentation - odin2.pptx;14578863;13.9;Aptamers at work – effective neutralization of SARS-CoV-2 and identifying protein biomarkers in biofluids using highly parallelized RNA aptamer screens.;ENGLISH;1.0;english;12
ARA 2023_ ARH and Community Archives_CL.pptx;9141176;8.72;Archiving activist communities: The Archiving Reproductive Health project's work building relationships with grassroots feminist organisations.;ENGLISH;1.0;english;13
ECOTIP presentation M. Koski_EU Polar Science Week 2020.pptx;7200458;6.87;Arctic biodiversity change and its consequences: Assessing, monitoring and predicting the effects of ecosystem tipping cascades on marine ecosystem services and dependent human systems (ECOTIP);ENGLISH;1.0;english;14
BMP poster_MDS_2022.pptx;126226;0.12;Bis(monoacylglycerol) phosphate levels are elevated at baseline in carriers of pathogenic variants in LRRK2 and GBA1 and do not predict progression of PD in PPMI cohorts;ENGLISH;1.0;english;15
S06P01_Becerril_Cordoba_BuildingDigitalPublicGoods.pptx;15544388;14.82;Building Digital Public Goods of Open Research Information for Inclusiveness and Sustainability of Scientific Communication: The Latin American use case;ENGLISH;1.0;english;16
Giaretta_IJDC_ConferencePapers_122-Presentation.pptx;1559922;1.49;Building LABDRIVE, a Petabyte scale, OAIS/ISO 16363 conformant, environmentally sustainable archive, tested by large scientific organisations to preserve their raw and processed data, software and documents;ENGLISH;1.0;english;17
2023-10-24 Building a community of DS in Flanders.pptx;13626041;12.99;Building a community of data stewards in Flanders: lessons learned from the FRDN Knowledge Hub's experience with the Community Canvas framework;ENGLISH;1.0;english;18
Morte súbita_dados_2022.pptx;1797127;1.71;COVID CAUSED MORE THAN 12 THOUSAND SUDDEN DEATHS IN BRAZIL IN ITS FIRST YEAR: EPIDEMIOLOGICAL, OBSERVATIONAL AND DESCRIPTIVE TIME SERIES STUDY AND COUNTERFACTUAL ANALYSIS;ENGLISH;1.0;english;19
CIMP_Presentation_NT_V4.pptx;7964996;7.6;Can caribou coexist with human development in Northern Canada? Forecasting land use changes using resource development potential mapping to improve caribou future forecasts.;ENGLISH;1.0;english;20
