filename,size_bytes,size_mb,title,title_language,title_confidence,metadata_language_hint,candidate_rank
Kualitas Pelayanan Kristus.pptx,557976,0.53,"PEMBEKALAN MAJELIS, PENGURUS SEKSI, PEMIMPIN CLASS MEETING & AKTIFIS GMI IMANUEL PRABUMULIH Jln. Jenderal Sudirman No.41 Kota Prabumulih TEMA : KUALITAS PELAYAN KRISTUS",INDONESIAN,1.0,indonesian,1
PERTEMUAN 3_15 MARET 2023.pptx,4387769,4.18,"PERTEMUAN 3-15 MARET 2023 IDENTIFIKASI DAN PERUMUSAN MASALAH, BAHAN PUSTAKA (TEORI)_METODOLOGI PENELITIAN KUALITATIF_UNIVERSITAS WIJAYA PUTRA PRIGEN_18.00-21.00",INDONESIAN,0.9992,indonesian,2
CHAPTER 3-BAGUS EKA PRASETYA-234961051.pptx,615021,0.59,"PERTEMUAN 2_MARET, 27-2024, _PASAR KEUANGAN INTERNASIONAL & PENGUKURAN NILAI TUKAR_MANAJEMEN KEUANGAN INTERNASIONAL",INDONESIAN,0.9984,indonesian,3
Chapter 4_234961055_Eka Chandra Hertiansyah.pptx,715063,0.68,"PERTEMUAN 2_MARET, 27-2024, _PASAR KEUANGAN INTERNASIONAL & PENGUKURAN NILAI TUKAR_MANAJEMEN KEUANGAN INTERNASIONAL",INDONESIAN,0.9984,indonesian,4
PERTEMUAN 7_21 MARET 2023.pptx,1090979,1.04,PERTEMUAN 7_21 MARET 2023_TRANSAKSI ENTITAS INDUK DAN ENTITAS ANAK ; ASET TETAP_AKUNTANSI KEUANGAN LANJUTAN II-UNIVERSITAS GRESIK JAM 18.00-20.00,INDONESIAN,0.9982,indonesian,5
CHAPTER 3-BAGUS EKA PRASETYA-234961051.pptx,613274,0.58,PERTEMUAN 4_11 OCTOBER 2023_KONDISI PARITAS INTERNASIONAL & SISTEM INTERNASIONAL MONETER_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA MM_UWP JAM 18.00-22.00,INDONESIAN,0.9974,indonesian,6
Chapter 5 - Danu Purwito.pptx,1294079,1.23,PERTEMUAN 4_11 OCTOBER 2023_KONDISI PARITAS INTERNASIONAL & SISTEM INTERNASIONAL MONETER_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA MM_UWP JAM 18.00-22.00,INDONESIAN,0.9974,indonesian,7
pengantar M Keu Multinasional.pptx,502154,0.48,PERTEMUAN 2_20 MARET 2024_MANAJEMEN KEUANGAN PERUSAHAAN MULTINASIONAL _PASCA SARJANA MM UWP SURABAYA,INDONESIAN,0.9946,indonesian,8
PERTEMUAN 1_20 SEPT RPS & Kontrak Kuliah MKI_UWP.pptx,5497350,5.24,PERTEMUAN 1_18 SEPTEMBER 2024_PENJELASAN RPS DAN KOTRAK KULIAH MANAJEMEN KEUANGAN INTERNASIONAL PASCA MM UWP_JAM 18.00-21.30,INDONESIAN,0.9937,indonesian,9
2012.11 POLITANI Integrasi Pengukuran Kinerja.pptx,1311052,1.25,INTEGRASI PENGUKURAN KINERJA DAN PENILAIAN RISIKO UNTUK MANAJEMEN RANTAI PASOK AGROINDUSTRI,INDONESIAN,0.9928,indonesian,10
